"transaction_description","category","country","currency"
"Go-Kart - Dinner Time","Entertainment & Recreation","INDIA","INR"
"Charter #6587 - INDIA","Utilities & Services","INDIA","INR"
"Big Lots - INDIA TXN669825","Shopping & Retail","INDIA","INR"
"Panda Express #4880 - Holiday","Food & Dining","CANADA","CAD"
"SPCA (Card)","Charity & Donations","UK","GBP"
"Senior Center #2486 - AUSTRALIA Center","Charity & Donations","AUSTRALIA","AUD"
"Police Department #8112","Government & Legal","USA","USD"
"MARTA","Transportation","UK","GBP"
"Fifth Third #1039 - USA","Financial Services","USA","USD"
"Comerica Business District","Financial Services","USA","USD"
"Hawaiian Airlines","Transportation","CANADA","CAD"
"MTA Online","Transportation","UK","GBP"
"Hulu #6656 Store","Entertainment & Recreation","USA","USD"
"Consolidated Communications #7112 - Morning","Utilities & Services","AUSTRALIA","AUD"
"Urologist","Healthcare & Medical","INDIA","INR"
"County Clerk #3531","Government & Legal","USA","USD"
"Regions Bank - AUSTRALIA","Financial Services","AUSTRALIA","AUD"
"Mr. Sub #8623","Food & Dining","AUSTRALIA","AUD"
"Train Store TXN664926","Transportation","UK","GBP"
"Internet Provider #6223 - Weekend","Utilities & Services","AUSTRALIA","AUD"
"Pharmacy","Healthcare & Medical","USA","USD"
"Satellite Internet Business District","Utilities & Services","CANADA","CAD"
"Whataburger Business District","Food & Dining","INDIA","INR"
"NYU Langone #7476","Healthcare & Medical","INDIA","INR"
"Office Depot #3229 Online","Shopping & Retail","INDIA","INR"
"Sixt #3032 Hospital","Transportation","CANADA","CAD"
"Escape Room Online","Entertainment & Recreation","CANADA","CAD"
"Municipal Building - Morning","Government & Legal","CANADA","CAD"
"Deposit #7278 - AUSTRALIA","Income","AUSTRALIA","AUD"
"Stock - USA","Financial Services","USA","USD"
"Wage #9643","Income","INDIA","INR"
"Fire Department (Card)","Government & Legal","CANADA","CAD"
"BB&T Store Online Downtown","Financial Services","INDIA","INR"
"Fair (Online)","Entertainment & Recreation","CANADA","CAD"
"Pediatrician #2103 Store TXN610092","Healthcare & Medical","INDIA","INR"
"Macy's #8987","Shopping & Retail","INDIA","INR"
"Panda Express","Food & Dining","USA","USD"
"Animal Shelter Store","Charity & Donations","CANADA","CAD"
"MRI - AUSTRALIA Airport","Healthcare & Medical","AUSTRALIA","AUD"
"Taxi - UK","Transportation","UK","GBP"
"Convention Center #7226 - UK","Entertainment & Recreation","UK","GBP"
"Pediatrician #4680 - UK","Healthcare & Medical","UK","GBP"
"ASPCA - USA Branch - Night","Charity & Donations","USA","USD"
"Mayo Clinic #3672 - CANADA","Healthcare & Medical","CANADA","CAD"
"WiFi Hotspot Online (ACH)","Utilities & Services","AUSTRALIA","AUD"
"Target #1333 Online - Holiday","Shopping & Retail","CANADA","CAD"
"Zara #5136","Shopping & Retail","CANADA","CAD"
"Salary Residential","Income","INDIA","INR"
"CVS #5441 - Morning","Shopping & Retail","AUSTRALIA","AUD"
"JetBlue #1913 - AUSTRALIA","Transportation","AUSTRALIA","AUD"
"CIA - Rush Hour","Government & Legal","INDIA","INR"
"Dillard's (Wire)","Shopping & Retail","UK","GBP"
"Xfinity","Utilities & Services","USA","USD"
"Toll","Transportation","INDIA","INR"
"ATF (Card)","Government & Legal","USA","USD"
"Jersey Mike's Business District","Food & Dining","CANADA","CAD"
"Nature Conservancy","Charity & Donations","INDIA","INR"
"Secret Service #3353","Government & Legal","USA","USD"
"Mayo Clinic Store TXN468305","Healthcare & Medical","USA","USD"
"Clinic - USA Shopping Center","Healthcare & Medical","USA","USD"
"Peter Pan","Transportation","UK","GBP"
"Crunch Fitness","Entertainment & Recreation","CANADA","CAD"
"Bojangles Branch Shopping Center","Food & Dining","INDIA","INR"
"United #2528 (Cash)","Transportation","AUSTRALIA","AUD"
"Retirement #2434","Financial Services","CANADA","CAD"
"Tennis Court #5135 Online TXN965632","Entertainment & Recreation","AUSTRALIA","AUD"
"Licensing Center - Evening","Income","UK","GBP"
"Verizon Branch","Utilities & Services","CANADA","CAD"
"Sick Pay","Income","CANADA","CAD"
"Disability #5021 (App)","Income","UK","GBP"
"Cable One - UK","Utilities & Services","UK","GBP"
"Cable Company","Utilities & Services","AUSTRALIA","AUD"
"Consolidated Communications #6568 Branch","Utilities & Services","INDIA","INR"
"Suddenlink - INDIA (Mobile)","Utilities & Services","INDIA","INR"
"Amnesty International #3829","Charity & Donations","AUSTRALIA","AUD"
"Dairy Queen #3365","Food & Dining","AUSTRALIA","AUD"
"Income #8343 - Night","Income","AUSTRALIA","AUD"
"Hospital #1754 Campus","Healthcare & Medical","INDIA","INR"
"Sephora - USA - Afternoon","Shopping & Retail","USA","USD"
"Orthopedist #8482 (Bank Transfer)","Healthcare & Medical","AUSTRALIA","AUD"
"PNC Bank #9146 Store (Cash)","Financial Services","UK","GBP"
"UNICEF #8359","Charity & Donations","AUSTRALIA","AUD"
"CrossFit (Bank Transfer)","Entertainment & Recreation","INDIA","INR"
"Walmart #9072","Shopping & Retail","INDIA","INR"
"T-Mobile #8369 Store","Utilities & Services","INDIA","INR"
"Anytime Fitness","Entertainment & Recreation","INDIA","INR"
"Gym #2334 Branch - Morning","Entertainment & Recreation","UK","GBP"
"Lord & Taylor #4405 Store","Shopping & Retail","AUSTRALIA","AUD"
"24 Hour Fitness","Entertainment & Recreation","AUSTRALIA","AUD"
"GoFundMe #8747","Charity & Donations","CANADA","CAD"
"Neurologist - CANADA Branch TXN384292","Healthcare & Medical","CANADA","CAD"
"Paintball Online","Entertainment & Recreation","UK","GBP"
"UCSF Medical #2247 Online","Healthcare & Medical","INDIA","INR"
"Tax","Government & Legal","AUSTRALIA","AUD"
"PNC Bank #2370","Financial Services","AUSTRALIA","AUD"
"Mutual Fund - INDIA - Weekend","Financial Services","INDIA","INR"
"Zipcar - INDIA Online","Transportation","INDIA","INR"
"Gold's Gym","Entertainment & Recreation","INDIA","INR"
"Bookkeeping #3562","Financial Services","CANADA","CAD"
"Pizza Hut TXN737264","Food & Dining","USA","USD"
"Jersey Mike's Store TXN712965","Food & Dining","USA","USD"
"Transfer TXN187654","Financial Services","INDIA","INR"
"Gas Company","Utilities & Services","UK","GBP"
"NSA - INDIA Store Campus","Government & Legal","INDIA","INR"
"Yoga Studio #2610 - INDIA Branch","Entertainment & Recreation","INDIA","INR"
"Mayo Clinic #8761 Online","Healthcare & Medical","AUSTRALIA","AUD"
"Wealth Management Center","Financial Services","CANADA","CAD"
"Hertz - INDIA","Transportation","INDIA","INR"
"Cox - CANADA - Weekday","Utilities & Services","CANADA","CAD"
"Offering Center","Charity & Donations","AUSTRALIA","AUD"
"Southwest Airlines - INDIA","Transportation","INDIA","INR"
"Firehouse Subs Store - Rush Hour","Food & Dining","USA","USD"
"SunTrust - UK","Financial Services","UK","GBP"
"Cleveland Clinic - Evening","Healthcare & Medical","AUSTRALIA","AUD"
"Netflix Store","Entertainment & Recreation","CANADA","CAD"
"Federal Building","Government & Legal","CANADA","CAD"
"Physical Therapy","Healthcare & Medical","USA","USD"
"Commission","Income","AUSTRALIA","AUD"
"Nature Conservancy","Charity & Donations","INDIA","INR"
"Occupational Therapy Online","Healthcare & Medical","AUSTRALIA","AUD"
"Urologist TXN559685","Healthcare & Medical","USA","USD"
"Church (Contactless)","Charity & Donations","USA","USD"
"SunTrust - USA Center (ACH)","Financial Services","USA","USD"
"Police Department (Bank Transfer)","Government & Legal","CANADA","CAD"
"Nordstrom Rack","Shopping & Retail","CANADA","CAD"
"UCSF Medical","Healthcare & Medical","UK","GBP"
"License #5547 Online","Government & Legal","UK","GBP"
"Paintball Store - Lunch Time","Entertainment & Recreation","USA","USD"
"Payroll Store","Income","USA","USD"
"Vacation Pay","Income","INDIA","INR"
"GoFundMe - Night","Charity & Donations","CANADA","CAD"
"ATM #9967 TXN993455","Financial Services","AUSTRALIA","AUD"
"Maternity Leave Online Center","Income","USA","USD"
"Stanford Health","Healthcare & Medical","USA","USD"
"CVS - AUSTRALIA (Cash)","Healthcare & Medical","AUSTRALIA","AUD"
"Uniqlo Branch TXN574949","Shopping & Retail","CANADA","CAD"
"MBTA","Transportation","UK","GBP"
"Marshalls","Shopping & Retail","UK","GBP"
"Brokerage #2702 (Online)","Financial Services","AUSTRALIA","AUD"
"Ulta #7718 TXN434230","Shopping & Retail","USA","USD"
"Bergdorf Goodman - AUSTRALIA - Afternoon","Shopping & Retail","AUSTRALIA","AUD"
"Cinemark TXN794069","Entertainment & Recreation","USA","USD"
"Sick Pay Branch","Income","USA","USD"
"Apple Store","Shopping & Retail","AUSTRALIA","AUD"
"Toll","Transportation","AUSTRALIA","AUD"
"Sixt TXN635874","Transportation","USA","USD"
"Belk","Shopping & Retail","UK","GBP"
"Atlantic Broadband - Afternoon","Utilities & Services","AUSTRALIA","AUD"
"Visa Store","Government & Legal","USA","USD"
"Mosque - USA","Charity & Donations","USA","USD"
"Post Office Downtown","Government & Legal","AUSTRALIA","AUD"
"Salvation Army","Charity & Donations","INDIA","INR"
"Homeless Shelter Center TXN766940","Charity & Donations","USA","USD"
"Hulu (Digital Wallet)","Entertainment & Recreation","CANADA","CAD"
"CrossFit #8380","Entertainment & Recreation","CANADA","CAD"
"Macy's #5814 Store","Shopping & Retail","INDIA","INR"
"Cane's #4887 Online - Evening","Food & Dining","UK","GBP"
"Blimpie #9973","Food & Dining","AUSTRALIA","AUD"
"City Hall #1977","Government & Legal","USA","USD"
"BB&T Store Mall","Financial Services","AUSTRALIA","AUD"
"Safeway","Food & Dining","CANADA","CAD"
"Dollar General #3063 - USA","Shopping & Retail","USA","USD"
"Credit","Income","UK","GBP"
"AMC Store","Entertainment & Recreation","INDIA","INR"
"Moe's Southwest Grill - AUSTRALIA TXN785764","Food & Dining","AUSTRALIA","AUD"
"Disney+","Entertainment & Recreation","CANADA","CAD"
"Customs - USA Store Center TXN417682","Government & Legal","USA","USD"
"Charter #6367 Online TXN767120","Utilities & Services","AUSTRALIA","AUD"
"HSBC - INDIA","Financial Services","INDIA","INR"
"Deposit - INDIA Online","Income","INDIA","INR"
"Peter Pan","Transportation","USA","USD"
"Costco #6164","Shopping & Retail","INDIA","INR"
"FBI","Government & Legal","CANADA","CAD"
"Wealth Management","Financial Services","USA","USD"
"Permit - Rush Hour","Government & Legal","USA","USD"
"DEA Store - Rush Hour","Government & Legal","AUSTRALIA","AUD"
"Adidas","Shopping & Retail","AUSTRALIA","AUD"
"Mutual Fund Campus","Financial Services","INDIA","INR"
"Mr. Sub","Food & Dining","USA","USD"
"YouTube","Entertainment & Recreation","INDIA","INR"
"CenturyLink","Utilities & Services","UK","GBP"
"Apple Store","Shopping & Retail","USA","USD"
"Alaska Airlines Store Branch","Transportation","UK","GBP"
"Planet Fitness #4654 Branch","Entertainment & Recreation","UK","GBP"
"Temple","Charity & Donations","CANADA","CAD"
"Youth Organization - USA","Charity & Donations","USA","USD"
"Huntington Bank Store - Lunch Time","Financial Services","UK","GBP"
"US Bank - CANADA Online","Financial Services","CANADA","CAD"
"DEA","Government & Legal","CANADA","CAD"
"Jimmy John's - CANADA Store Online","Food & Dining","CANADA","CAD"
"Swimming Pool - Evening","Entertainment & Recreation","UK","GBP"
"CVS","Healthcare & Medical","INDIA","INR"
"Congress #6701 - INDIA Station","Government & Legal","INDIA","INR"
"Target #8625 - USA","Shopping & Retail","USA","USD"
"Bookkeeping #5712","Financial Services","UK","GBP"
"County Clerk Station","Government & Legal","UK","GBP"
"DART Online","Transportation","AUSTRALIA","AUD"
"Fitness","Entertainment & Recreation","UK","GBP"
"World Vision Center (App)","Charity & Donations","USA","USD"
"Spirit Store (Wire)","Transportation","UK","GBP"
"Disney+ #3557","Entertainment & Recreation","UK","GBP"
"Family Dollar #4372 Shopping Center","Shopping & Retail","UK","GBP"
"Primary Care #5096 - CANADA Online","Healthcare & Medical","CANADA","CAD"
"Viasat #4689","Utilities & Services","AUSTRALIA","AUD"
"Emergency Room #5105 - AUSTRALIA Online (ACH)","Healthcare & Medical","AUSTRALIA","AUD"
"Equinox #4814","Entertainment & Recreation","AUSTRALIA","AUD"
"Doctors Without Borders Store","Charity & Donations","USA","USD"
"Royalty #3582 Branch Shopping Center","Income","CANADA","CAD"
"Arby's Store Airport","Food & Dining","CANADA","CAD"
"DirecTV","Utilities & Services","CANADA","CAD"
"WWF","Charity & Donations","CANADA","CAD"
"HughesNet","Utilities & Services","USA","USD"
"Baja Fresh #8148 Center","Food & Dining","INDIA","INR"
"Salary","Income","INDIA","INR"
"Big Lots #5257 Online TXN282975","Shopping & Retail","CANADA","CAD"
"DSL Branch Residential","Utilities & Services","CANADA","CAD"
"Religious Organization - Morning","Charity & Donations","CANADA","CAD"
"Comcast #6640 Center","Utilities & Services","USA","USD"
"DMV Center - Holiday","Government & Legal","AUSTRALIA","AUD"
"Lab Center","Healthcare & Medical","AUSTRALIA","AUD"
"ATF #9875","Government & Legal","UK","GBP"
"Rite Aid Store","Healthcare & Medical","UK","GBP"
"Overtime #6714","Income","INDIA","INR"
"Emergency Services #2377 - UK","Government & Legal","UK","GBP"
"Refund - Evening","Income","AUSTRALIA","AUD"
"Ambulance - INDIA","Government & Legal","INDIA","INR"
"Service Branch","Government & Legal","UK","GBP"
"Social Security Branch Business District","Government & Legal","AUSTRALIA","AUD"
"CenturyLink Store (Online)","Utilities & Services","INDIA","INR"
"Neiman Marcus #6856 (Wire)","Shopping & Retail","AUSTRALIA","AUD"
"Hawaiian Airlines (Cash)","Transportation","INDIA","INR"
"Red Cross #1823","Charity & Donations","INDIA","INR"
"Clinic - AUSTRALIA Campus","Healthcare & Medical","AUSTRALIA","AUD"
"Walmart #8238 - INDIA (Contactless)","Shopping & Retail","INDIA","INR"
"Income Hospital","Income","UK","GBP"
"Loan #3053 - UK","Financial Services","UK","GBP"
"ASPCA Residential","Charity & Donations","CANADA","CAD"
"DSL #4106","Utilities & Services","USA","USD"
"Tax Preparation - CANADA - Rush Hour","Financial Services","CANADA","CAD"
"Passport - UK","Government & Legal","UK","GBP"
"AT&T TXN708526","Utilities & Services","INDIA","INR"
"Chase - Afternoon","Financial Services","INDIA","INR"
"Cable Company #1057","Utilities & Services","INDIA","INR"
"Crunch Fitness #5869 - Weekday","Entertainment & Recreation","UK","GBP"
"Bank of America Store","Financial Services","AUSTRALIA","AUD"
"Highway Patrol Station","Government & Legal","UK","GBP"
"Zara #4509 Online","Shopping & Retail","UK","GBP"
"CIA - Holiday","Government & Legal","AUSTRALIA","AUD"
"Dillard's #2466 - USA Store TXN589975","Shopping & Retail","USA","USD"
"Jersey Mike's Store - Dinner Time","Food & Dining","AUSTRALIA","AUD"
"Olive Garden - Dinner Time","Food & Dining","CANADA","CAD"
"Donation - CANADA Store","Charity & Donations","CANADA","CAD"
"Kaiser Permanente (Digital Wallet)","Healthcare & Medical","UK","GBP"
"Culver's #4048","Food & Dining","USA","USD"
"Fiber - INDIA Branch","Utilities & Services","INDIA","INR"
"Salary - INDIA","Income","INDIA","INR"
"Marshals #7940","Government & Legal","UK","GBP"
"Domino's #4958 TXN316870","Food & Dining","CANADA","CAD"
"SEPTA","Transportation","CANADA","CAD"
"Frontier Store","Utilities & Services","CANADA","CAD"
"Franchise","Income","USA","USD"
"Deposit #2021 Shopping Center","Income","UK","GBP"
"Sheriff","Government & Legal","CANADA","CAD"
"Local Food Bank #8895 - INDIA (Mobile)","Charity & Donations","INDIA","INR"
"Amazon Prime #9503 TXN263361","Entertainment & Recreation","USA","USD"
"Tax #3159 Residential","Government & Legal","CANADA","CAD"
"TSA","Government & Legal","USA","USD"
"Pension #4238","Income","USA","USD"
"Wealth Management","Financial Services","CANADA","CAD"
"Laser Tag (ACH)","Entertainment & Recreation","CANADA","CAD"
"Panera Bread #3967 Online","Food & Dining","UK","GBP"
"Annuity Store Business District","Income","USA","USD"
"Registration","Government & Legal","CANADA","CAD"
"AT&T - USA Strip Mall","Utilities & Services","USA","USD"
"FlixBus","Transportation","USA","USD"
"GoFundMe #7840 Online","Charity & Donations","INDIA","INR"
"Disability #6889 Online Branch","Income","UK","GBP"
"Side Hustle - CANADA","Income","CANADA","CAD"
"Optimum Online","Utilities & Services","AUSTRALIA","AUD"
"Tim Hortons - Morning","Food & Dining","AUSTRALIA","AUD"
"Raising Cane's","Food & Dining","USA","USD"
"Internet Provider","Utilities & Services","UK","GBP"
"Disability #8787 Business District","Income","USA","USD"
"Hospital TXN317478","Healthcare & Medical","USA","USD"
"Gig Work #6234 Online Center (Online)","Income","AUSTRALIA","AUD"
"Physical Therapy (App)","Healthcare & Medical","AUSTRALIA","AUD"
"Peter Pan","Transportation","AUSTRALIA","AUD"
"Amtrak","Transportation","AUSTRALIA","AUD"
"Jack in the Box","Food & Dining","INDIA","INR"
"Staples Store Online","Shopping & Retail","INDIA","INR"
"Domino's","Food & Dining","CANADA","CAD"
"Stock TXN347881","Financial Services","CANADA","CAD"
"ATM #9548","Financial Services","CANADA","CAD"
"Nature Conservancy #8403","Charity & Donations","INDIA","INR"
"WOW Store Center TXN719345","Utilities & Services","UK","GBP"
"State Police #1095 Online","Government & Legal","INDIA","INR"
"Mosque #7790 Store","Charity & Donations","AUSTRALIA","AUD"
"ASPCA - Dinner Time","Charity & Donations","INDIA","INR"
"Dunkin' Donuts #9572","Food & Dining","CANADA","CAD"
"Hardee's - USA (Mobile)","Food & Dining","USA","USD"
"Amazon Mall","Shopping & Retail","AUSTRALIA","AUD"
"Neurologist","Healthcare & Medical","CANADA","CAD"
"Amtrak #6628","Transportation","INDIA","INR"
"Metro Branch - Morning","Transportation","CANADA","CAD"
"Cable One Station","Utilities & Services","USA","USD"
"Cable Internet (Cash)","Utilities & Services","UK","GBP"
"Capitol - AUSTRALIA Store","Government & Legal","AUSTRALIA","AUD"
"Belk #2849 - AUSTRALIA","Shopping & Retail","AUSTRALIA","AUD"
"Greyhound","Transportation","AUSTRALIA","AUD"
"Dunkin' Donuts (Cash)","Food & Dining","INDIA","INR"
"Electric Company Business District","Utilities & Services","UK","GBP"
"Reimbursement #1259 - INDIA Online","Income","INDIA","INR"
"PNC Bank Store","Financial Services","AUSTRALIA","AUD"
"Barnes & Noble (ACH)","Shopping & Retail","AUSTRALIA","AUD"
"Comcast #2200 TXN423280","Utilities & Services","AUSTRALIA","AUD"
"Gas Company","Utilities & Services","USA","USD"
"Adidas","Shopping & Retail","UK","GBP"
"Chipotle #6977","Food & Dining","AUSTRALIA","AUD"
"CIA - USA Online TXN900622","Government & Legal","USA","USD"
"Paramedic #8875","Government & Legal","AUSTRALIA","AUD"
"Contract Work - UK Center - Weekday","Income","UK","GBP"
"Zaxby's","Food & Dining","AUSTRALIA","AUD"
"Ski Resort","Entertainment & Recreation","INDIA","INR"
"Amazon","Shopping & Retail","AUSTRALIA","AUD"
"Orthopedist Online Strip Mall","Healthcare & Medical","UK","GBP"
"Kaiser Permanente Store (Digital Wallet)","Healthcare & Medical","CANADA","CAD"
"Chick-fil-A TXN671671","Food & Dining","AUSTRALIA","AUD"
"Pilates - Holiday","Entertainment & Recreation","CANADA","CAD"
"Cinemark Downtown","Entertainment & Recreation","INDIA","INR"
"Museum #9694","Entertainment & Recreation","INDIA","INR"
"Police Department - INDIA","Government & Legal","INDIA","INR"
"YouTube","Entertainment & Recreation","USA","USD"
"IKEA #2604","Shopping & Retail","AUSTRALIA","AUD"
"Senate (Card)","Government & Legal","CANADA","CAD"
"DART Branch (Bank Transfer)","Transportation","CANADA","CAD"
"Blood Test","Healthcare & Medical","AUSTRALIA","AUD"
"UCSF Medical - AUSTRALIA","Healthcare & Medical","AUSTRALIA","AUD"
"FlixBus Online","Transportation","AUSTRALIA","AUD"
"Dividend","Income","UK","GBP"
"Court #1651 Online","Government & Legal","CANADA","CAD"
"Cold Stone Creamery #7445","Food & Dining","UK","GBP"
"Commission #5187","Income","INDIA","INR"
"Side Hustle Store","Income","INDIA","INR"
"Comcast #1923 Online","Utilities & Services","CANADA","CAD"
"Cable One Downtown","Utilities & Services","INDIA","INR"
"TD Bank","Financial Services","CANADA","CAD"
"Oxfam","Charity & Donations","USA","USD"
"CenturyLink","Utilities & Services","AUSTRALIA","AUD"
"Ulta (Card)","Shopping & Retail","INDIA","INR"
"Surgery","Healthcare & Medical","CANADA","CAD"
"Fire Department","Government & Legal","CANADA","CAD"
"Senior Center #5859 - AUSTRALIA","Charity & Donations","AUSTRALIA","AUD"
"Family Dollar - CANADA - Dinner Time","Shopping & Retail","CANADA","CAD"
"X-Ray","Healthcare & Medical","CANADA","CAD"
"Cardiologist #2235","Healthcare & Medical","USA","USD"
"Charity #5298 - INDIA Store","Charity & Donations","INDIA","INR"
"WOW #1977 - USA Online","Utilities & Services","USA","USD"
"Golf Course - USA","Entertainment & Recreation","USA","USD"
"Direct Deposit - CANADA","Income","CANADA","CAD"
"MRI #6117","Healthcare & Medical","UK","GBP"
"Train - Rush Hour","Transportation","AUSTRALIA","AUD"
"Retirement Planning - INDIA Airport","Financial Services","INDIA","INR"
"Oxfam Online","Charity & Donations","AUSTRALIA","AUD"
"Pediatrician Branch","Healthcare & Medical","CANADA","CAD"
"Fifth Third #1688 (Online)","Financial Services","AUSTRALIA","AUD"
"Bonus","Income","UK","GBP"
"Comcast Online Branch Station","Utilities & Services","AUSTRALIA","AUD"
"Municipal Building - Weekend","Government & Legal","USA","USD"
"Big Lots #5545 Online","Shopping & Retail","CANADA","CAD"
"Consolidated Communications #9345","Utilities & Services","USA","USD"
"Neurologist Store","Healthcare & Medical","AUSTRALIA","AUD"
"AT&T - AUSTRALIA","Utilities & Services","AUSTRALIA","AUD"
"SunTrust #8974 - AUSTRALIA Store Online","Financial Services","AUSTRALIA","AUD"
"Satellite Internet #4432 - CANADA Branch","Utilities & Services","CANADA","CAD"
"Hospital Online Residential","Healthcare & Medical","AUSTRALIA","AUD"
"Freelance Online (Wire)","Income","AUSTRALIA","AUD"
"BP Store (Wire)","Transportation","INDIA","INR"
"Royalty","Income","AUSTRALIA","AUD"
"Verizon #4135 - USA (Card)","Utilities & Services","USA","USD"
"Marshals - AUSTRALIA","Government & Legal","AUSTRALIA","AUD"
"Mobile Hotspot Store Station","Utilities & Services","UK","GBP"
"Vacation Pay - INDIA","Income","INDIA","INR"
"Passport #1642 Store","Government & Legal","CANADA","CAD"
"Retirement Online","Financial Services","CANADA","CAD"
"Comerica","Financial Services","INDIA","INR"
"Service Station","Government & Legal","AUSTRALIA","AUD"
"Raising Cane's #6132 Store Branch","Food & Dining","INDIA","INR"
"Overtime","Income","AUSTRALIA","AUD"
"Baskin-Robbins","Food & Dining","UK","GBP"
"Anytime Fitness Online","Entertainment & Recreation","AUSTRALIA","AUD"
"BP","Transportation","INDIA","INR"
"IRS - Afternoon","Government & Legal","USA","USD"
"Cox (Online)","Utilities & Services","UK","GBP"
"First National Store - Afternoon","Financial Services","UK","GBP"
"Mosque #8918","Charity & Donations","CANADA","CAD"
"Regions Bank","Financial Services","AUSTRALIA","AUD"
"Mediacom - Holiday","Utilities & Services","CANADA","CAD"
"Saks Fifth Avenue (ACH)","Shopping & Retail","UK","GBP"
"Taxi #4004 Store","Transportation","UK","GBP"
"Safeway Pharmacy","Healthcare & Medical","INDIA","INR"
"Reward Center","Income","CANADA","CAD"
"Internet Provider","Utilities & Services","INDIA","INR"
"Popeyes #5827 - Dinner Time","Food & Dining","UK","GBP"
"Religious Organization - UK Online","Charity & Donations","UK","GBP"
"Mortgage Online","Financial Services","AUSTRALIA","AUD"
"Hertz","Transportation","INDIA","INR"
"Business WiFi #8461 - Weekend","Utilities & Services","CANADA","CAD"
"Temple TXN964385","Charity & Donations","INDIA","INR"
"Loan - CANADA (ACH)","Financial Services","CANADA","CAD"
"Maternity Leave - UK Store Online Campus","Income","UK","GBP"
"Ambulance","Government & Legal","AUSTRALIA","AUD"
"Salvation Army Store","Charity & Donations","INDIA","INR"
"Trader Joe's - AUSTRALIA (ACH)","Food & Dining","AUSTRALIA","AUD"
"Budget (Card)","Transportation","AUSTRALIA","AUD"
"City Hall #3812 TXN400641","Government & Legal","INDIA","INR"
"Saks Off 5th #7424","Shopping & Retail","USA","USD"
"National Parks","Charity & Donations","UK","GBP"
"Frontier Strip Mall","Utilities & Services","INDIA","INR"
"Sheriff","Government & Legal","INDIA","INR"
"Police Department #3205","Government & Legal","CANADA","CAD"
"Local Food Bank #5612 Mall","Charity & Donations","USA","USD"
"Huntington Bank #3387 Branch","Financial Services","AUSTRALIA","AUD"
"Arcade","Entertainment & Recreation","CANADA","CAD"
"Income #5250 - INDIA","Income","INDIA","INR"
"AMC #8578 Branch","Entertainment & Recreation","AUSTRALIA","AUD"
"Financial Advisor Center Campus","Financial Services","INDIA","INR"
"Zara","Shopping & Retail","USA","USD"
"Gold's Gym Store - Night","Entertainment & Recreation","USA","USD"
"Fundraising","Charity & Donations","CANADA","CAD"
"Investment Bank","Financial Services","INDIA","INR"
"Goodwill #9556 Store Online","Charity & Donations","AUSTRALIA","AUD"
"Charter #9781","Utilities & Services","AUSTRALIA","AUD"
"Police Department #6460 - USA","Government & Legal","USA","USD"
"Bowling Alley - Holiday","Entertainment & Recreation","CANADA","CAD"
"Municipal Building #9473","Government & Legal","INDIA","INR"
"Chipotle Online (Card)","Food & Dining","INDIA","INR"
"Disability Store","Income","UK","GBP"
"Police Department #7741","Government & Legal","AUSTRALIA","AUD"
"Mobile","Utilities & Services","INDIA","INR"
"Freelance #8147 - CANADA TXN692525","Income","CANADA","CAD"
"Credit Union #8920","Financial Services","AUSTRALIA","AUD"
"Financial Advisor Store Business District","Financial Services","INDIA","INR"
"Allegiant #5459 - UK","Transportation","UK","GBP"
"Side Hustle - UK Store","Income","UK","GBP"
"Pension #7426 Store","Income","CANADA","CAD"
"IKEA - UK","Shopping & Retail","UK","GBP"
"Veterans Organization #7877 - Weekday","Charity & Donations","INDIA","INR"
"Concert - CANADA Online (Online)","Entertainment & Recreation","CANADA","CAD"
"Adidas TXN411407","Shopping & Retail","INDIA","INR"
"Brokerage - UK Online","Financial Services","UK","GBP"
"Potbelly #5611","Food & Dining","UK","GBP"
"Bonus Store","Income","UK","GBP"
"Escape Room #2598","Entertainment & Recreation","UK","GBP"
"Notary - Morning","Government & Legal","INDIA","INR"
"Rock Climbing","Entertainment & Recreation","CANADA","CAD"
"Immigration #2813","Government & Legal","UK","GBP"
"TJ Maxx - Afternoon","Shopping & Retail","UK","GBP"
"Mortgage","Financial Services","USA","USD"
"Cardiologist","Healthcare & Medical","CANADA","CAD"
"Barnes & Noble","Shopping & Retail","INDIA","INR"
"Cable One (Contactless)","Utilities & Services","INDIA","INR"
"Raising Cane's (Bank Transfer)","Food & Dining","CANADA","CAD"
"Accounting","Financial Services","UK","GBP"
"Red Cross","Charity & Donations","USA","USD"
"Cane's","Food & Dining","CANADA","CAD"
"Big Lots","Shopping & Retail","CANADA","CAD"
"Cedars-Sinai - Weekday","Healthcare & Medical","INDIA","INR"
"Consulting","Income","INDIA","INR"
"Atlantic Broadband","Utilities & Services","UK","GBP"
"Nature Conservancy Center","Charity & Donations","CANADA","CAD"
"Post Office","Shopping & Retail","UK","GBP"
"Tax Preparation","Financial Services","INDIA","INR"
"Holiday Pay #3216 - Weekday","Income","UK","GBP"
"T-Mobile - Holiday","Utilities & Services","INDIA","INR"
"Ulta - Holiday","Shopping & Retail","AUSTRALIA","AUD"
"Suddenlink - AUSTRALIA","Utilities & Services","AUSTRALIA","AUD"
"TJ Maxx","Shopping & Retail","USA","USD"
"Contract Work - UK Store","Income","UK","GBP"
"Popeyes Branch Residential","Food & Dining","AUSTRALIA","AUD"
"Police Department Store Online","Government & Legal","UK","GBP"
"CTA - INDIA","Transportation","INDIA","INR"
"Shake Shack","Food & Dining","USA","USD"
"MTA Store","Transportation","UK","GBP"
